"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","","","","","","","","","","","","","","","","","","","","","We stayed room only as eating out in New York is great."
"","","","","","","","","","p","","","","","","","","","","","","","","","For the best breakfast tun left as you leave the hotel and walk up to where the small bridge crosses the road at Grand Central Station under this bridge straight across from the station you get the most fantastic breakfast, be early it gets very busy."
"","","","","p","","","","","","","","","","","","","","","","","","","","The hotels location is second to none you have the Empire state, 5th Avenue, Grand Central, Chrysler Building, Times Square etc all within a few minute walk."
"","","","","","","","","","p","","","","","","","","","","","","","","","Ps Do the circle line boat tour to see the statue of liberty and the new york skyline it is fantastic."
"","p","","","","","","","","","0","5","4","theNewberrys","81169","81169:63","4","4","5","-1","5","","Jun 11, 2008","5","Mosser Excellent Value!"
"","","","","","","","","","","","","","","","","","","","","","","","","Stayed recenty to attend a Giant's game."
"","","","","","","","","","","","","","","","","","","","","","","","","Didn't want to spend alot of dough and chose the Mosser."
"","","","","","","","","","","","","","","","","","","","","","","","","I'm originally from the City and have known of the Mosser (especially the dive hotel it was back in the 1980's)."
"","","","","","","","","","","","","","","","","","","","","","","","","What a transformation!"
"p","","","","","","","","p","","","","","","","","","","","","","","","","It's a beautifully designed, well appointed and friendly staffed hotel."
"","","","","","","","","p","","","","","","","","","","","","","","","","The employees are very helpful and knowledgeble (overheard a desk clerk explaining our California Mission system to a foreigner), though not overly solicitous (with hand out)."
"","","","","p","","","","","","","","","","","","","","","","","","","","The location is perfect."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Bus to the ballpark is right in front."
"","","","","ip","p","","","","","","","","","","","","","","","","","","","Excellent restaurants within walking distance; the Metreon for movies."
"","","","","ip","","","","","","","","","","","","","","","","","","","","The MOMA around the corner and of course, Dave's Bar on 3rd...best beer deals in town; always has the game on and a great Juke box!"
"","","","","","","","p","","","","","","","","","","","","","","","","","Rooms are small, but perfect for what a busy or active traveler needs."
"","","","","","","","p","","","","","","","","","","","","","","","","","Our room had a small chair that had a swing table on the arm and a foot rest that slid out, perfect for working on the laptop."
"","","","","","","","ip","","","","","","","","","","","","","","","","","Flat screen TV, dvd and stereo."
"","","","","","","","ip","","x","","","","","","","","","","","","","","","The famous one on Nob Hill doesn't even offer that!"
"","","","","","","","","","","","","","","","","","","","","","p","","","We definately will return; we get up to the city often and have found a new pad in the Mosser."
"","","","","","","","","","","","","","","","","","","","","","p","","","I'll recommend it to everyone heading to the City."
"","","","","","","","","","","","","","","","","","","","","","p","","","The better hotels should take notice! Mosser, Great job!!"
"","","","","","","","","","","0","4","5","melTravel04","81375","81375:83","5","5","5","3","4","","Feb 29, 2008","5","Don't judge a book by it's cover!"
"","","","","p","","","","","","","","","","","","","","","","","","","","Hotel is in Fisherman's Wharf, close to everything."
"n","","","","","","","","","","","","","","","","","","","","","","","","Exterior of hotel is very old and dated...I was worried when we drove up to check in."
"ip","","","","","","","","","","","","","","","","","","","","","","","","But as soon as you entered you could see the renovations!"
"p","","","","","","","","","","","","","","","","","","","","","","","","VERY beautiful and stylish lobby."
"","","","","","","","p","","","","","","","","","","","","","","","","","Rooms were great, as well."
"","","","","","","","p","","","","","","","","","","","","","","","","","We had a king bed in our room and had plenty of space."
"","","","","","","","x","","","","","","","","","","","","","","","","","Not much of a view as all the surrounding buildings are the same height."
"","","","","","","p","","","","","","","","","","","","","","","","","","Great, clean rooms and bathrooms."
"","","","","","","","","","","","","","","","","","","","","","p","","","I would definitely stay here again."
"","n","","","","","","","","","","","","","","","","","","","","","","","PARKING: is $43 plus tax per day; watch out!!"
"","","","","","","","","","","2","5","5","KEA322","208454","208454:565","5","5","5","5","4","p","Aug 9, 2006","5","My new favorite hotel!"
"","","","","","","","","","","","","","","","","","","","","","x","","","My husband and I stayed at the Sofitel New York August 4th-6th."
"","","","","","","","","","","","","","","","","","","","","","x","","","After much research and reading of reviews on this site, I chose this hotel."
"","","","","p","","","","","","","","","","","","","","","","","","","","It was our first trip to NYC and this was the ideal location, centrally located to tour the city."
"","","","","ip","","","","","","","","","","","","","","","","","","","","We walked just about everywhere."
"","","","","p","","","","","","","","","","","","","","","","","","","","It was also very nicely tucked on a side street so it was always very quiet."
"p","","","","","","p","","p","","","","","","","","","","","","","","","","The hotel is very clean, beautiful and offers friendly service."
"","","","","","","","p","","","","","","","","","","","","","","","","","The bed was so comfortable; I could not wait to come back to our room every night just for that!!!"
"","","","","","","","","","x","","","","","","","","","","","","","","","I followed the advice that many people wrote and signed up for a free Sofitel Privileges card and also emailed the hotel to let them know we were there to celebrate our anniversary."
"","","","","","","","","ip","","","","","","","","","","","","","","","","We were upgraded from a queen to king room with a view!"
"","","","","","","","","ip","","","","","","","","","","","","","","","","We also received champagne and chocolates our first night."
"","","","","","","","","","","","","","","","","","","","","","p","","","With the Sofitel card we also had a 4 PM checkout which was great."
"","","","","","","","","","","","","","","","","","","","","","p","","","This is definitely my most favorite of all hotels I have stayed in and would absolutely stay here again and any other Sofitel."
"","","","","","","","","","","","","","","","","","","","","","p","","","I highly recommend this hotel especially for couples."
"","","","","","","","","","","","","","","","","","","","","","p","","","It's fantastic!"
"","","","","","","","","","","0","4","5","A TripAdvisor Member","125161","125161:119","-1","5","4","-1","3","p","Dec 16, 2004","-1","Nice modern hotel."
"","","","","","","","","","","","","","","","","","","","","","","","","My husband and I spent the weekend at the W New Orleans (Dec. 11 - Dec 12, 2004)."
"","","","","","","","","","","","","","","","","","","","","","p","","","Loved the vibe of the hotel."
"p","","","","","","","","","","","","","","","","","","","","","p","","","Very modern."
"","","","","","","","","","","","","","","","","","","","","","p","","","Great for the younger 30 something crowd."
"","","","","","","","","","","","","","","","","","","","","","ix","","","Not to be age pregidous but, didn't see anyone here that was older 60+ like other hotels in the immediate area as this one."
"","","","","","","","p","","","","","","","","","","","","","","","","","Pros about the hotel: Great beds, down pillows were great."
"","","","","","","","p","","","","","","","","","","","","","","","","","Has very nice robes in room, CD player and DVD player."
"","","","","","","","p","","","","","","","","","","","","","","","","","Also has a neat candy machine in the room that is a nickle for some hot tamale candy."
"","","","","","","","p","","","","","","","","","","","","","","","","","I thought it was a VERY quite hotel, but again we stayed on the 19th Floor."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Just about 3 blocks or so from the French Quarter and directly across the street from Harrahs Casino."
"","n","","","","","","","","","","","","","","","","","","","","","","","There are some cons about this hotel - REMEMBER - if you drive down your parking is NOT FREE!"
"","n","","","","","","","","","","","","","","","","","","","","","","","Looking at about $32.00 extra tacked on the hotel bill for valet overnight parking."
"","","","","","","","","","","","","","","","","","","","","","","","","Don't be surprised about this as alot of the nicer hotels around New Orleans does this."
"","x","","","","","","x","","","","","","","","","","","","","","","","","The rooms are a bit small for the price of the room."
"","x","","","","","","x","","","","","","","","","","","","","","","","","Paid $209 for a basic king bedroom."
"","n","","","","","","","","","","","","","","","","","","","","","","","No frills - nice mini bar in room but VERY expensive."
"","in","","","","","","","","","","","","","","","","","","","","","","","$4 bucks for a candy bar!"
"","","","","","","","","","","","","","","","","","","","","","p","","","This is a great hotel if you want to stay somewhere a little different."
"","","","","","","","","","","2","5","4","060506","237511","237511:21","4","5","5","-1","5","p","Jul 5, 2008","5","Pleased with stay"
"","","","","","","","","","x","","","","","","","","","","","","","","","We're a family of four and stayed in their quad room for 2 nights in June."
"","","","","","","","p","","","","","","","","","","","","","","","","","The room was very spacious with a nice bathroom and nice amenities."
"","","","","","","","","","","","","","","","","","","","","","p","","","We were very pleased with our stay and would definitely stay there again."
"","","","","","","","","p","","","","","","","","","","","","","","","","PROS:Brothers who run the hotel are very helpful."
"","","","","","p","","","","","","","","","","","","","","","","","","","Breakfast was large and wonderful."
"","","","","p","","","p","","","","","","","","","","","","","","","","","Rooms were big.Walking distance to many sites."
"","","","","","","","","","","","","","","","","","","","","","p","","","DVD with movies to borrow nice after a full day of sightseeing."
"","","","","","","p","","","","","","","","","","","","","","","","","","Bathroom updated nice."
"","","","","p","","","","","","","","","","","","","","","","","","","","Only a block away from a laundromat."
"","p","","","in","","","","","","","","","","","","","","","","","","","","Price was good compared to other hotels I checked on.CONS - not many:Area immediately around hotel doesn't have much open in the evening for dinner."
"n","","","","","","","","","","","","","","","","","","","","","","","","Elevator didn't appear to work."
"","","","","","","","","","","1","5","5","yadidim","601686","601686:74","4","5","5","5","5","p","Nov 22, 2007","5","Excellent Stay!!!!!"
"","","","","","","","","","","","","","","","","","","","","","","","","I had to book a room in"
"","","","","","","","","","","","","","","","","","","","","","","","","Amsterdam last minute (on Monday for a Wednesday stay)."
"","","","","","","","","","","","","","","","","","","","","","","","","I didn鈥檛 have time to really research and simply booked whatever Priceline would honor."
"","","","","","","","","","","","","","","","","","","","","","","","","I was very lucky to get this hotel."
"","","","","ip","","","","","","","","","","","","","","","","","","","","It is located on the street parallel to the canal right behind the central train station."
"","","","","","","","","","","","","","","","","","","","","","","","","It鈥檚 a 5 minute walk or you can take a tram."
"","","","","","","","","","","","","","","","","","","","","","","","","A taxi will cost about 10 euros."
"","","","","","","","","","","","","","","","","","","","","","","","","I paid 100 Euros for this reservation and upon arrival upgraded to a junior suite for additional 100 Euro."
"","","","","","","","","","","","","","","","","","","","","","","","","I was not disappointed."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The rooms are modern and clean."
"","","","","","","","","ip","","","","","","","","","","","","","","","","The mini bar is included."
"","","","","","","","ip","","","","","","","","","","","","","","","","","The room has a shower AND a bath tub."
"","","","","","ip","","","","","","","","","","","","","","","","","","","Breakfast is included in the main restaurant and has everything you might need or like."
"","","","","","","","","","","","","","","","","","","","","","p","","","All in all an excellent hotel."
"","","","","","","","","","","","","","","","","","","","","","ip","","","Definitely will stay there again"
"","","","","","","","","","","1","4","4","traceygoulding77","197447","197447:3","4","5","5","-1","5","ip","Nov 11, 2008","5","hotel not a disappointment"
"","","","","","","","","","","","","","","","","","","","","","","","","We must have just been unlucky with our experience of Paris, because what should have been a lovely time was ruined by at least 3 encounters of very rude Parisians and very expensive prices."
"","","","","","","","","","in","","","","","","","","","","","","p","","","[expect to pay at least 拢4-拢5 for a beer and 拢4 for a small wine most cafe/bars]But it was completely outweighed by the fact that the Hotel was a pleasant haven to rest a weary head."
"","","","","","","","","ip","","","","","","","","","","","","","","","","The manager should have been promoted long ago,-I will never again meet such a Man who was so happy to help and rectify any problems- he was wonderful."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The stay was very comfortable and the room [small but ample] clean."
"","","","","","","","p","","","","","","","","","","","","","","n","","","The bed was the most comfortable I have stayed on.The only gripe I have about it was that there were no Tea and Coffee making facilities, and being an avid tea drinker and one who takes ages to get ready whilst consuming at least 4 cups doing so, was a disappointment."
"","","","","","","","","","","","","","","","","","","","","","n","","","The other thing...[and I feel awful having to say this because nobody else has] ...is that breakfast was a little uncomfortable [ bit too intimate! ]"
"n","","","","","","","","","","","","","","","","","","","","","","","","as we had to keep sharing a table with someone because the room was so tiny [ a converted cellar I think] and there was a maximum number of tables- so if everyone came down at once in the morning it would be chaos!!!"
"","p","","","","","","","n","","","","","","","","","","","","","","","","The lady waitress was a bit slow on the uptake and didnt understand much of what we were saying but we just didnt let it get to us.Nevertheless this hotel is good value for money and I agree with most of the comments made and the manager has done his best to make sure nobody has a bad time."
"ip","","","","","","p","","","","1","4","4","A TripAdvisor Member","275848","275848:198","-1","5","3","-1","5","","Jan 14, 2004","-1","Modern-minimalis design and Clean"
"","","","","","","","","","","","","","","","","","","","","","","","","We booked a reservation at the Hotel Globus through its web-site based of the good reviews that we read on tripadvisor."
"","","","","","","","","","","","","","","","","","","","","","","","","Though, we are fully aware that european hotels are less in quality compared with the ones in Asia or US."
"","","","","","","","","","","","","","","","","","","","","","","","","This is true, therefore we are not expecting much on it.During the time to confirm our reservation, we have been offered with various rate for double standard or double executive room."
"","","","","","","","","","","","","","","","","","","","","","","","","Thank you to Michelle who is one of the owner of this hotel."
"","p","","","","","","","","","","","","","","","","","","","","","","","He gave us a good deal of Euro 90 for double executive room (incl. buffet breakfast and taxes)."
"","","","","","","","","","","","","","","","","","","","","","","","","We stayed there for 3 nights late December 2003."
"","","","","","","","","","","","","","","","","","","","","","","","","To us the hotel is most likely a 2 stars with a 4 stars bathroom facility."
"","","","","","","p","p","","","","","","","","","","","","","","","","","Our room is spacious with internet access, cozy modern-minimalis design and clean."
"in","","","","","","","","","","","","","","","","","","","","","","","","The one which decreased the value of this hotel is that the lobby is up a flight of stairs."
"in","","","","","","","","","","","","","","","","","","","","","","","","Guests must climb with luggage."
"","","","","","","","","ip","","","","","","","","","","","","","","","","when we arrived we were greeted by the front staff who helped us to bring our luggages up to the lobby."
"","","","","","","","","","","","","","","","","","","","","","","","","We left our luggages at the front desk since the room reserved for us was still occupied."
"","","","","","","","","","","","","","","","","","","","","","","","","When we came back in the afternoon, our luggages had been brought in the room at 2nd floor."
"","","","","","","","","ip","","","","","","","","","","","","","","","","The bar and breakfast place looked like a snack vendor and the only staff is very practical."
"","","","","","p","","","","","","","","","","","","","","","","","","","Breakfast was fine european standard with fresh fruit, however we could ask for a cup of capucinno or even a glass of hot chocolate."
"","","","","","","","","","","","","","","","","","","","","","","","","This hotel is recommended for budget travelers who do not mind to carry on your own luggages to the room and during check out."
"","","","","","","","","","","","","","","","","","","","","","","","","We do not mind it either."
"","","","","p","","","","","","","","","","","","","","","","","","","","The location is best, near the train station (5 minutes walk) and many budget eating houses nearby."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Mercato St. Lorenzo is just steps from the hotel."
"","","","","","","","ip","","","","","","","","","","","","","","","","","The window of our room is facing the back of Medici Chapel, a warm scene in the morning of winter season."
"","","","","","","","","","","","","","","","","","","","","","ip","","","We will absolutely stay there again if we get back to Florence one day.xxx"
"","","","","","","","","p","","2","5","5","kcribb1","77804","77804:216","-1","5","5","-1","5","p","Apr 11, 2005","-1","Great hotel; Great service"
"","","","","","","","","","","","","","","","","","","","","","p","","","This is oerhaps the beat hotel I have visitied in the United States."
"","","","","","","","","","","","","","","","","","","","","","p","","","1st class serice from the moment of my arrival until the moment I left.I arrived on Oscar weekend."
"","","","","","","","","","","","","","","","","","","","","","p","","","I thought the hotel would be packed, but there seemed to be plenty of romms available."
"","","","","","","","","","","","","","","","","","","","","","x","","","I booked my room on priceline for $55.00 per night (plus I had a free upgrade coupon to the club floor)."
"","","","","p","","","","","","","","","","","","","","","","","","","","There was no mention of my third party reservation.A Metro stop is a block away, which will take you to various area of Los Angeles."
"","","","","","","","","","x","","","","","","","","","","","","","","","Downtown nightlife wasn't important, as I was taking the metro into Hollywood for the Oscar events; plus, it was nice to get away from the insanity of Hollywood."
"","","","","","","","p","","","","","","","","","","","","","","","","","The rooms are well appointed and spacious."
"","","","","","","","p","","","","","","","","","","","","","","","","","The bathrooms were larger than expected and the walk-in shower was wonderful."
"","","","","","","","","","x","","","","","","","","","","","","","","","Not many places to eat, but there is a great market a block away."
"","","","","","","","","","x","","","","","","","","","","","","","","","I think the name was Central Market."
"","","","","","","","","","x","","","","","","","","","","","","","","","I had the BEST Mexican food I have ever eaten - very inexpensive!"
"","p","","","","","","","","","","","","","","","","","","","","p","","","I highly recommend the hotel, especially at the priceline rate of $55.00 per night (+ tax and fees)."
"","","","","","","","","","","","","","","","","","","","","","x","","","If you want an upgrade room, join the Guest Select program, and you will be sent a coupon for a free room upgrade coupon."
"","","","","","","","","","","","","","","","","","","","","","x","","","after making the reservation, call the hotel and advise you have an upgrade coupon."
"","","","","","","","","","","","","","","","","","","","","","x","","","The upgrade will allow access to free Continental Breakfast and afternoon cocktails."
"","","","","","","","","","","0","1","3","migDenmark","305365","305365:13","2","3","1","3","1","n","Apr 1, 2007","3","They cheated us!"
"","","","","","","","","","","","","","","","","","","","","","x","","","Hallo!We stayed at this hotel only fore a couple of hours, because our airplain was delayed.A fine hotel, BUT they cheated us."
"","","","","","","","","","","","","","","","","","","","","","n","","","They acussed me and some friends of taking something from the minibar - they acussed us of lying."
"","","","","","","","","","","","","","","","","","","","","","","","","In the few hours we were there we didn't even see there was a minibar."
"","","","","","","","","","","","","","","","","","","","","","","","","And we had to pay, because we didn't have the time to prove we were right."
"","","","","","","","","","","","","","","","","","","","","","","","","Line Jakobsen"
"","","","","","","","p","p","","2","5","4","A TripAdvisor Member","285955","285955:35","-1","5","5","-1","4","","<Content>Date>Mar 7, 2006","-1","Great Service And Lovely Rooms"
"","","","","p","","","p","p","","","","","","","","","","","","","","","","Great location, great rooms and great service!!!"
"","","","","","","","","","","","","","","","","","","","","","ip","","","What more can you ask for?"
"","","","","","","","","","","","","","","","","","","","","","","","","<"
"","p","","","","","","","","","2","5","5","Greenmeister","209382","209382:46","5","5","4","2","4","","Jul 29, 2008","5","Great value for Manhattan"
"","","","","","","","","","x","","","","","","","","","","","","","","","I picked this hotel after weeks of reading reviews on this site and others."
"","p","","","","","","","","","","","","","","","","","","","","","","","I decided it offered the best value for money for what I was after and I wasn't to be disappointed."
"","","","x","","","","","","","","","","","","","","","","","","","","","Upon check-in we were upgraded to a corner room on the 30th floor."
"","","","","","","","p","","","","","","","","","","","","","","","","","I had read much about NYC hotel rooms being on the small side but our room at the Millennium Plaza was very spacious."
"","","","","","","","p","","","","","","","","","","","","","","","","","But the main thing about the room was the views - WOW!"
"","","","","ip","","","","","","","","","","","","","","","","","","","","We had great views over the East River and over Midtown as well."
"","","","","p","","","ip","","","","","","","","","","","","","","","","","The room was modernly decorated and within easy walking distance of Grand Central Station and the subway."
"","","","","","","","","","x","","","","","","","","","","","","","","","Like others have already done so I would recommend John's Cafe for breakfast and there is also a great 24 hour deli/store on the corner of 44th and 2nd."
"","in","","","","","","","","","","","","","","","","","","","","","","","My main gripe is that when you are paying $300 a night for a room you would expect to have free internet in your room."
"","n","","","","","","","","","","","","","","","","","","","","","","","This was not the case and we were charged $13 a day for the privelege."
"","","","","","","","","","","","","","","","","","","","","","in","","","During our time in the States we had stayed at other more basic hotels which offered free wifi in rooms."
"","","","","","","","","","","","","","","","","","","","","","in","","","In fact, of the 5 hotels we stayed at in total the Millennium Plaza was the only one which did not offer free WIFI."
"","p","","","","","","","","","","","","","","","","","","","","p","","","But all in all for the views and size of room you get for your money, I would say, that by NYC standards anyway, the UN Millennium Plaza offers great value for money and I would certainly stay there again and recommend the place to family and friends."
"","","","","","","","","","","0","1","-1","A TripAdvisor Member","218524","218524:2611","-1","-1","-1","-1","-1","n","Feb 3, 2003","-1","Avoid this Sweat Shop Resort"
"","","","","","","","","","","","","","","","","","","","","","","","","We just returned from Secrets Excellence in Punta Cana."
"","","","","","","","","","","","","","","","","","","","","","n","","","We will not return and there are many reasons why."
"","x","","","","","","","","","","","","","","","","","","","","","","","We paid, for information, $2500 for 7 nights, two people, all-inclusive, air, Apple, a good deal/fair price in America's winter."
"","","","","","","","","","","","","","","","","","","","","","","","","We had problems and at first thought it was just us."
"","","","n","","","","","","","","","","","","","","","","","","","","","We arrived via Apple Vacations and check-in took around 2 hours... chaos at the front desk."
"","","","","","","","","","","","","","","","","","","","","","n","","","Our room ended up not being ready until 6 PM that evening--arrived 3 PM."
"","","","","","","","","","","","","","","","","","","","","","","","","Resort was 98% full, which explains a lot."
"","","","","","","","","","","","","","","","","","","","","","n","","","The horseback riding which is included is a joke.."
"","","","","","","","","","","","","","","","","","","","","","in","","","the resort makes it diffficult to attain and book such reservations."
"","","","","","","","","","","","","","","","","","","","","","n","","","For example, our 1st day there, not once in 7 days was the ride available at any time."
"","","","","","","","","in","","","","","","","","","","","","","","","","And to find this fact out, we spoke with 4 different people."
"","","","","","","","","","","","","","","","","","","","","","in","","","We noticed the same workers cleaning @ 7 AM were later serving dinners @ 8 PM."
"","","","","","","","","","","","","","","","","","","","","","in","","","We felt sorry for them."
"","","","","","","","","n","","","","","","","","","","","","","","","","We tipped everywhere, but still received poor service."
"","","","","","","","","in","","","","","","","","","","","","","","","","Often we seated ourselves after waiting, waiting, and waiting some more--WITH A RESERVATION."
"","","","","","","","","","","","","","","","","","","","","","in","","","We watched numerous people turned away, one on crutches, because their reservation was lost in a snafu."
"","","","","","","","","in","","","","","","","","","","","","","","","","Again, we seated ourselves after waiting--WITH A RESERVATION for the main restaurant every night we ate there."
"","","","","","","","","in","","","","","","","","","","","","","","","","One person would bring water, the other appetizers.."
"","","","","","","","","in","","","","","","","","","","","","","","","","we often were brought courses twice because of the lack of communication."
"","","","","","","","","in","","","","","","","","","","","","","","","","Refills were offered twice during our entire stay in the main dining room."
"","","","","","","","","in","","","","","","","","","","","","","","","","My husband actually got up once, walked to the soda fountain, glasses in hand, and refilled our sodas... and the workers who saw him do that said nothing."
"","","","","","","","","in","","","","","","","","","","","","","","","","We requested this twice that evening, and waited 25 minutes... we are willing to get our own soda and are not above this, but..."
"","","","","","","","","in","","","","","","","","","","","","","","","","it was ridiculous."
"","","","","","","","","in","","","","","","","","","","","","","","","","Many nights no reservations were available, we were told, despite there being 5 couples seated in a 117-person-capacity restaurant--we booked dinner every evening the 1st night there."
"","","","","","","","","in","","","","","","","","","","","","","","","","We ordered pizza one night, and it never came, nor did we see our waiter after ordering d the situation."
"","","","","","","","","in","","","","","","","","","","","","","","","","They quickly got our order through and explained there were unsure where our waiter went."
"","","","","","","","","in","","","","","","","","","","","","","","","","We did not even attempt room service."
"","","","","","","","","in","","","","","","","","","","","","","","","","Many nights, our room was not cleaned until 6 and 7 PM."
"","","","","","","","","","","","","","","","","","","","","","","","","I kid you not."
"","","","","","","n","","in","","","","","","","","","","","","","","","","2 days went by where our room was not even cleaned at all, no new towels, nothing."
"","","","n","","","","","","","","","","","","","","","","","","","","","We called the front desk several times about this and nothing was done."
"","","","n","","","","","n","","","","","","","","","","","","","","","","The resort is either understaffed, poorly managed, or both."
"","","","","","","","","","","","","","","","","","","","","","n","","","We wanted to make this trip special, fun, and the resort ruined it."
"","","","","","","","","","","","","","","","","","","","","","in","","","The ocean was gorgeous, but rough, fellow tourists wonderful, and most staff were gracious--OUTSIDE the dining areas."
"","","","","","p","","","","","","","","","","","","","","","","p","","","Drinks were great, the trip was relaxing, booked a tour and swam with nurse sharks, stingrays--all in a cage."
"","","","","","","","","","","","","","","","","","","","","","in","","","However, this resort was highly unorganized and for a 6 GOLDEN Apple rating.... we would surely cringe to see a 4-star ratied resort, which must be a sewer with 3 people working per every 1,000 tourists."
"","","","","","","","","n","","","","","","","","","","","","","","","","We have been to Mexico many times, other areas as well, and have never experienced such horrendous service and apathy."
"","","","","","","","","n","","","","","","","","","","","","","","","","We were never mistreated... we just often weren't treated at all."
"","","","","","","","","in","","","","","","","","","","","","","","","","And tipping made no difference (we would NEVER consider not tipping)."
"","","","","","","","","n","","","","","","","","","","","","","","","","The hotel manager was not helpful, reservations for dinner in the main restaurant were unorganized, lost, and made little difference in service."
"","","","","","","","","in","","","","","","","","","","","","","","","","One evening, dinner took 3.5 hours after arrival."
"","","","","","","","","in","","","","","","","","","","","","","","","","We waited, waited, waited... the entrees?"
"","","","","","x","","","","","","","","","","","","","","","","","","","Steaks."
"","","","","","in","","","","","","","","","","","","","","","","","","","Nothing special."
"","","","","","x","","","","","","","","","","","","","","","","","","","Breakfast was a bit better, and we realize this is not fast food, America, etcetera.."
"","","","","","","","","n","","","","","","","","","","","","","","","","but we were not offered refills once during breakfast."
"","","","","","","","","in","","","","","","","","","","","","","","","","Again, my husband walked, glasses in hand, and poured orange juice several times.."
"","","","","","","","","in","","","","","","","","","","","","","","","","it was so bad some other guests who walked by my husband commented, Hey, we saw you get up and get our own drinks.... we were going to ask you to get ours, haha, since you are a better server than anyone working here.."
"","","","","","","","","","","","","","","","","","","","","","","","","WE DID THE SAME THING, THOUGH..."
"","","","","","","","","","","","","","","","","","","","","","","","","Point: it was not just us."
"","","","","","","","","","","","","","","","","","","","","","","","","We had an open mind."
"","","","","","","","","","","","","","","","","","","","","","","","","Punta Cana was pretty, but no better thappreciate tourism."
"","","","","","","","","","","","","","","","","","","","","","n","","","We guess the resort pays nothing to its workers, and is a mere sweat shop."
"","","","","","","","","n","","","","","","","","","","","","","","","","The result: employees who are exhausted and don't care."
"","","","","","","","","in","","","","","","","","","","","","","","","","We are unsure, at times, if ANYONE was managing the resort."
"","","","","","","in","","","","","","","","","","","","","","","","","","The grounds were beautiful, but we noticed some cups in several common areas.... and these same cups remained until the date of our departure."
"","","","","","","n","","","","","","","","","","","","","","","n","","","That means certain areas had not been cleaned in over 6 days...AVOID THIS RESORT."
"","n","","","","","","","","","","","","","","","","","","","","n","","","SAVE YOUR MONEY AND GO ELSEWHERE."
"","","","","","","","","","","","","","","","","","","","","","in","","","AS A MATTER OF FACT, AVOID ALL SECRETS RESORTS, AS THEY ARE BUILDING WITHIN PLAYA DEL CARMEN, AND HAVE OTHER RESORTS."
"","","","","","","","","","","","","","","","","","","","","","in","","","You have been warned, and we, I think, are nice people, who are often too timid to complain in any situation."
"","","","","","","","","","","","","","","","","","","","","","in","","","This resort even tried our patience."
"","","","","","","","","","","","","","","","","","","","","","","","","This review is real, and our experiences not exaggerated."
"","","","","","","","","","","","","","","","","","","","","","n","","","It's tough to find the positives after getting so upset about this vacation."
"","","","","","","","","","","","","","","","","","","","","","n","","","What a scam."
"","","","","","","","","","","1","4","-1","NealR2000","227459","227459:26","-1","-1","-1","-1","-1","","Nov 5, 2008","-1","Exellent The location is terrific, as you are right in the thick of"
"","","","","","","","","","","","","","","","","","","","","","","","","Madrid's center."
"","","","","ip","","","","","","","","","","","","","","","","","","","","This makes it easy for frequent stops during your day, to drop off shopping, etc."
"","","","","","","","","p","","","","","","","","","","","","","","","","The staff and very helpful."
"","","","","","","","","","","","","","","","","","","","","","p","","","All in all, a very good tourist hotel."
"","","","","","","","","","","0","1","2","MsFran","76083","76083:92","5","5","1","5","1","n","May 20, 2007","4","Not a good experience"
"","","","","p","","","","","","","","","","","","","","","","","","","","The location is perfect for shopping and restaurants."
"p","","","","","","","n","","","","","","","","","","","","","","","","","The lobby is beautiful....we checked in and once in our room realized it was cold."
"","","","","","","","n","","","","","","","","","","","","","","","","","We turned on the heater and waited for 3 hours, the room never got warm.....apparently the windows were not sealed."
"","","","","","","","n","","","","","","","","","","","","","","","","","They moved us to another room, this room extremely hot....and the air conditioner did not work."
"","","","","","","","x","","","","","","","","","","","","","","","","","They move us a third time, this room was small but it appeared to have working heat and air."
"","","","","","","","","","","","","","","","","","","","","","","","","It was 1:30 am before we could finally settle down and rest."
"","","","n","","","","","n","","","","","","","","","","","","","","","","The hotel management did not apologize or even offer an explanation...in fact the person at the front desk was rude."
"","","","","","","","","","p","","","","","","","","","","","","","","","We checked out the first thing the next morning and went to the Hyatt which was wonderful."
"","","","","","","","","","","","","","","","","","","","","","n","","","I would never stay at this hotel again."
"","","","","","","","","in","","","","","","","","","","","","","","","","I understand things happen, an apology would have been nice."
"","","","","","","","","","","2","5","-1","A TripAdvisor Member","87102","87102:337","-1","-1","-1","-1","-1","p","Nov 21, 2003","-1","Will only stay at the Moana"
"","","","","","","","","","","","","","","","","","","","","","p","","","Surfrider when we return This is a classic Waikiki hotel with a great deal of charm and luxury."
"","","","","","","","","p","","","","","","","","","","","","","","","","The staff was extremely professional and courteous and bent over backwards to accommodate our requests."
"","","","","","","","","","","","","","","","","","","","","","x","","","We originally booked a partial ocean view to save money."
"","","","","","","","n","","","","","","","","","","","","","","","","","When we saw our room, we were not pleased."
